Date,Cases - Total,Deaths - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity
05/14/2020,882,41,42,184,169,142,151,110,44,39,1,456,415,11,378,9,119,70,35,271,1,0,3,1,3,5,7,21,0,19,22,0,12,3,18,5,2,1
04/15/2020,616,31,22,90,105,96,127,80,43,53,0,309,301,6,185,25,191,77,32,106,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0
05/10/2020,583,36,34,116,112,129,88,57,25,22,0,269,293,21,237,8,76,44,28,190,0,0,1,3,2,9,8,13,0,13,23,0,12,2,14,7,1,0
05/18/2020,617,27,40,129,107,117,97,66,34,27,0,330,282,5,193,7,86,53,26,252,0,0,2,2,2,3,10,8,0,11,16,0,6,1,9,11,0,0
04/12/2020,446,33,26,68,84,71,72,56,35,34,0,223,207,16,103,15,119,63,17,129,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0
03/20/2020,143,0,3,26,33,23,27,17,10,4,0,68,73,2,12,9,60,47,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/22/2020,116,2,2,15,18,27,21,16,14,3,0,56,60,0,20,4,60,26,2,4,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,1,0
04/20/2020,622,37,12,101,101,124,106,85,47,45,1,285,332,5,216,18,166,90,19,113,0,0,1,1,4,4,9,18,0,14,23,0,11,2,13,9,1,1
05/03/2020,931,41,33,186,145,175,170,105,66,51,0,448,452,31,404,11,127,75,19,295,0,0,0,2,4,11,12,12,0,19,22,0,18,0,15,8,0,0
03/19/2020,124,2,3,21,29,19,22,21,7,2,0,58,66,0,11,4,58,47,1,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
